Sum of delta,Phase,Qubits,Spin,CorrelatedPairs,OnesCount
586,0,5,true,2,4
568,2,5,false,2,4
564,2,5,true,2,4
536,1,5,false,2,4
532,1,5,true,2,4
514,0,5,false,2,4
418,0,5,false,3,4
398,2,5,false,3,4
398,2,5,true,3,4
390,1,7,true,3,5
376,0,7,true,3,5
376,1,5,true,3,4
368,0,5,true,3,4
368,2,7,false,3,5
358,0,7,false,3,5
350,1,5,false,3,4
350,1,7,false,3,5
348,2,7,true,3,5
318,2,9,true,4,6
302,1,11,false,5,7
300,2,7,false,2,5
298,1,7,true,2,5
298,2,7,true,2,5
296,0,7,false,2,5
288,0,7,true,2,5
278,1,11,true,5,7
276,0,11,true,5,7
276,2,9,false,4,6
274,1,9,false,4,6
272,0,7,true,4,5
270,0,9,false,4,6
270,1,9,false,5,6
266,0,9,true,5,6
266,1,7,false,2,5
266,2,11,false,5,7
260,2,13,true,6,8
254,0,15,true,7,9
252,1,9,true,4,6
252,2,11,true,5,7
250,0,11,false,4,7
248,0,11,false,5,7
246,0,7,false,4,5
246,0,9,true,4,6
246,1,11,false,4,7
246,2,9,false,5,6
242,2,7,false,4,5
240,0,9,true,6,8
240,1,7,false,4,5
238,1,7,false,4,6
238,1,10,true,5,7
236,1,9,true,5,6
234,2,7,false,4,6
232,1,9,false,3,6
232,1,11,false,6,9
232,1,11,true,4,7
232,2,7,true,4,5
232,2,15,true,7,9
230,0,10,false,5,7
230,1,7,true,4,5
228,0,13,false,6,8
228,2,11,false,4,7
226,1,13,true,6,8
226,2,13,false,6,8
224,0,7,false,4,6
224,0,13,true,6,8
224,2,10,true,4,7
222,0,10,false,5,8
222,2,13,false,5,8
220,0,15,false,7,9
220,1,13,false,6,8
220,2,9,false,3,6
220,2,10,true,5,7
218,2,9,true,3,6
218,2,10,false,5,7
216,2,10,false,5,8
213,2,10,true,5,8
212,0,9,false,5,6
212,0,11,true,4,7
212,2,7,true,4,6
212,2,19,true,10,13
210,1,10,false,5,7
210,2,9,true,5,6
210,2,11,false,6,7
210,2,17,false,8,10
208,2,13,true,5,8
206,0,13,false,5,8
204,0,7,true,4,6
204,0,13,true,7,8
204,1,5,false,4,5
202,0,9,true,3,6
202,0,10,true,5,7
202,1,9,true,3,6
202,1,15,true,7,9
200,0,9,false,3,6
200,0,11,true,6,7
200,1,15,true,6,9
198,0,19,true,9,11
198,1,13,false,5,8
196,0,13,true,5,8
196,1,9,false,6,8
196,1,10,true,4,6
196,1,11,true,6,9
196,1,13,false,7,8
196,1,15,false,7,9
196,2,11,true,6,7
194,0,5,true,4,5
194,0,15,false,6,9
194,0,15,true,6,9
194,1,10,true,4,7
192,1,13,true,5,8
192,1,13,true,7,8
190,0,5,false,4,5
188,1,11,true,6,7
188,2,5,true,4,5
186,0,13,false,7,8
186,2,19,false,8,11
184,0,17,false,9,10
184,1,7,true,4,6
183,0,10,false,4,6
183,1,10,false,5,8
182,1,10,false,4,6
182,2,5,false,4,5
182,2,9,true,4,7
180,1,5,true,4,5
180,2,9,false,6,8
180,2,10,true,4,6
180,2,15,false,5,9
180,2,19,false,9,11
178,0,10,false,4,7
178,1,17,false,7,10
178,2,10,false,4,6
178,2,17,true,9,10
176,0,11,false,6,7
176,0,17,true,7,10
172,0,11,true,6,9
172,1,10,false,4,7
172,2,11,true,4,7
172,2,13,true,6,10
172,2,15,false,6,9
170,0,13,true,4,8
170,0,17,false,7,10
170,1,19,false,9,11
170,1,19,true,8,11
170,2,10,false,4,7
168,0,10,true,4,7
168,0,15,true,8,11
168,0,19,true,10,13
168,1,10,true,6,7
168,1,17,true,8,12
168,2,9,false,4,7
