OnesCount,CorrelatedPairs,Experiment Set,Qubits,delta
2464,2019,1,5000,-36
2508,2016,2,5000,8
2479,1970,3,5000,-21
2542,1979,4,5000,42
2512,1974,5,5000,12
2560,2010,6,5000,60
2483,2011,7,5000,-17
2512,2037,8,5000,12
2455,2017,9,5000,-45
2512,2022,10,5000,12
2549,2029,11,5000,49
2463,1999,12,5000,-37
2582,2009,13,5000,82
2532,2009,14,5000,32
2564,1962,15,5000,64
2552,1981,16,5000,52
2501,2046,17,5000,1
2458,1982,18,5000,-42
3521,2993,19,7000,21
3504,2959,20,7000,4
3457,3017,21,7000,-43
3395,3094,22,7000,-105
3537,3022,23,7000,37
3559,3033,24,7000,59
3550,2918,25,7000,50
3465,2996,26,7000,-35
3458,2967,27,7000,-42
3517,3030,28,7000,17
3494,2951,29,7000,-6
3472,3034,30,7000,-28
3449,3027,31,7000,-51
3441,2935,32,7000,-59
3476,3005,33,7000,-24
3466,2995,34,7000,-34
3469,2993,35,7000,-31
3572,2981,36,7000,72
4491,4015,37,9000,-9
4455,4032,38,9000,-45
4505,3987,39,9000,5
4514,4073,40,9000,14
4579,3975,41,9000,79
4515,3994,42,9000,15
4527,3985,43,9000,27
4569,4079,44,9000,69
4489,3995,45,9000,-11
4546,3968,46,9000,46
4509,3969,47,9000,9
4530,4008,48,9000,30
4502,4084,49,9000,2
4511,3971,50,9000,11
4549,3975,51,9000,49
4485,4051,52,9000,-15
4567,3994,53,9000,67
4509,4058,54,9000,9
5075,4544,55,10000,75
4933,4459,56,10000,-67
4968,4364,57,10000,-32
5019,4442,58,10000,19
5088,4573,59,10000,88
5031,4503,60,10000,31
4959,4521,61,10000,-41
4915,4456,62,10000,-85
4976,4479,63,10000,-24
5003,4445,64,10000,3
5037,4523,65,10000,37
4959,4416,66,10000,-41
5085,4456,67,10000,85
4960,4440,68,10000,-40
5054,4440,69,10000,54
5005,4511,70,10000,5
4950,4499,71,10000,-50
4994,4542,72,10000,-6
5498,4971,73,11000,-2
5424,4978,74,11000,-76
5467,5035,75,11000,-33
5592,4955,76,11000,92
5477,5121,77,11000,-23
5485,4987,78,11000,-15
5512,5081,79,11000,12
5551,4911,80,11000,51
5450,5058,81,11000,-50
5451,4904,82,11000,-49
5465,5090,83,11000,-35
5472,4980,84,11000,-28
5547,4998,85,11000,47
5550,5012,86,11000,50
5490,5007,87,11000,-10
5492,4984,88,11000,-8
5455,5031,89,11000,-45
5494,4949,90,11000,-6
6454,5952,91,13000,-46
6726,6043,92,13000,226
6473,5982,93,13000,-27
6493,6003,94,13000,-7
6522,6006,95,13000,22
6455,6018,96,13000,-45
6530,5966,97,13000,30
6406,5892,98,13000,-94
6610,5973,99,13000,110
6478,6076,100,13000,-22
6479,5956,101,13000,-21
6496,5939,102,13000,-4
6437,5884,103,13000,-63
6569,6051,104,13000,69
6454,5946,105,13000,-46
6427,6043,106,13000,-73
6379,6020,107,13000,-121
6411,5986,108,13000,-89
7531,7003,109,15000,31
7608,7003,110,15000,108
7525,7005,111,15000,25
7528,7012,112,15000,28
7563,6958,113,15000,63
7487,7028,114,15000,-13
7498,7029,115,15000,-2
7514,6996,116,15000,14
7476,6865,117,15000,-24
7558,7085,118,15000,58
7483,7051,119,15000,-17
7448,7007,120,15000,-52
7451,7051,121,15000,-49
7537,7094,122,15000,37
7587,7061,123,15000,87
7538,7011,124,15000,38
7632,7090,125,15000,132
7522,6978,126,15000,22
8468,7988,127,17000,-32
8395,7945,128,17000,-105
8483,7970,129,17000,-17
8479,8037,130,17000,-21
8492,7974,131,17000,-8
8522,7989,132,17000,22
8494,8001,133,17000,-6
8526,7991,134,17000,26
8495,7964,135,17000,-5
8458,7902,136,17000,-42
8469,7997,137,17000,-31
8543,8023,138,17000,43
8526,7974,139,17000,26
8458,7889,140,17000,-42
8357,7986,141,17000,-143
8449,8098,142,17000,-51
8506,8028,143,17000,6
8677,7924,144,17000,177
9493,8943,145,19000,-7
9486,9165,146,19000,-14
9556,8942,147,19000,56
9504,9119,148,19000,4
9474,9086,149,19000,-26
9489,8926,150,19000,-11
9571,8988,151,19000,71
9481,9051,152,19000,-19
9412,9086,153,19000,-88
9531,9072,154,19000,31
9419,9002,155,19000,-81
9336,8879,156,19000,-164
9508,8895,157,19000,8
9441,8886,158,19000,-59
9518,8963,159,19000,18
9545,8961,160,19000,45
9460,8826,161,19000,-40
9519,9007,162,19000,19
9960,9456,163,20000,-40
10103,9539,164,20000,103
9899,9612,165,20000,-101
9954,9654,166,20000,-46
9898,9435,167,20000,-102
9973,9502,168,20000,-27
9990,9548,169,20000,-10
9971,9433,170,20000,-29
10026,9511,171,20000,26
9976,9428,172,20000,-24
9945,9400,173,20000,-55
9980,9644,174,20000,-20
9980,9585,175,20000,-20
10029,9623,176,20000,29
10025,9443,177,20000,25
10032,9503,178,20000,32
10067,9564,179,20000,67
10153,9507,180,20000,153
