OnesCount,CorrelatedPairs,Qubits,delta,Run
42,36,90,0,1
63,53,125,4,2
49,38,90,6,3
35,33,70,1,4
42,38,80,4,5
63,57,125,4,6
49,37,85,8,7
42,38,80,3,8
35,25,70,2,9
14,13,25,2,10
49,38,95,4,11
42,32,85,1,12
28,27,60,0,13
56,53,115,2,14
49,47,105,-1,15
77,77,155,4,16
56,60,110,3,17
70,60,125,10,18
56,48,110,3,19
14,14,30,0,20
21,21,45,0,21
35,32,70,2,22
7,5,10,2,23
49,43,90,6,24
35,23,70,2,25
28,27,55,1,26
42,41,90,-1,27
28,21,50,3,28
28,19,60,0,29
35,28,65,4,30
42,34,85,2,31
28,22,50,4,32
28,26,55,2,33
28,25,55,1,34
56,56,115,1,35
77,63,145,8,36
63,52,120,6,37
42,36,80,4,38
56,46,100,8,39
35,27,65,4,40
35,29,70,2,41
49,39,95,4,42
56,49,115,0,43
84,72,155,10,44
56,51,115,1,45
70,63,135,5,46
49,52,105,-2,47
63,67,135,-1,48
42,33,80,4,49
42,32,70,8,50
56,45,110,4,51
42,37,90,-1,52
63,67,140,-4,53
28,28,55,2,54
56,45,110,3,55
28,26,60,0,56
35,26,70,2,57
42,39,85,1,58
42,34,75,5,59
28,30,60,0,60
42,33,75,6,61
49,43,85,8,62
42,35,85,1,63
35,32,75,0,64
49,33,85,8,65
49,42,95,3,66
49,49,100,1,67
21,18,35,4,68
35,32,60,6,69
77,75,165,-1,70
56,51,120,-2,71
49,40,95,4,72
21,20,45,-1,73
28,25,55,2,74
70,49,115,14,75
49,43,85,8,76
49,52,115,-6,77
42,39,100,-6,78
56,44,105,6,79
14,8,20,4,80
63,71,140,-4,81
49,37,90,6,82
14,12,30,0,83
56,44,110,4,84
14,10,30,0,85
42,30,70,8,86
42,37,85,1,87
28,27,50,4,88
35,32,70,2,89
35,29,75,-1,90
28,29,55,2,91
63,58,135,-2,92
35,29,70,2,93
70,63,140,3,94
56,47,100,8,95
21,13,40,2,96
63,63,120,5,97
28,26,55,2,98
63,44,125,3,99
35,24,55,8,100
49,45,90,6,101
35,28,75,-1,102
49,43,85,8,103
63,55,125,3,104
28,22,50,4,105
49,39,85,8,106
49,49,95,3,107
63,59,115,7,108
35,33,65,4,109
21,21,45,0,110
63,48,110,10,111
56,51,100,8,112
49,49,110,-4,113
49,33,90,6,114
35,33,70,2,115
28,24,55,2,116
63,60,130,0,117
56,48,120,-1,118
49,49,95,4,119
49,46,85,8,120
35,31,65,4,121
35,35,75,0,122
42,32,70,8,123
63,55,120,6,124
28,18,50,4,125
