OnesCount,CorrelatedPairs,Qubits,delta,Run
72,61,125,7,1
32,31,65,-2,2
56,49,110,-2,3
40,33,75,1,4
72,67,145,-4,5
32,34,65,-1,6
56,52,115,-4,7
48,37,90,1,8
80,93,185,-14,9
56,43,105,1,10
64,68,125,-1,11
48,48,105,-6,12
40,31,80,-2,13
56,53,115,-4,14
72,68,155,-8,15
72,66,145,-4,16
56,45,105,2,17
72,65,135,1,18
24,24,45,0,19
48,33,80,6,20
104,93,205,-2,21
72,67,145,-3,22
32,28,60,0,23
48,50,100,-4,24
64,65,135,-4,25
40,51,90,-6,26
80,80,170,-7,27
40,28,70,4,28
48,50,105,-6,29
56,48,115,-3,30
80,76,160,-3,31
88,86,170,-1,32
48,55,105,-5,33
48,45,105,-6,34
48,40,95,-2,35
32,36,75,-6,36
32,32,65,-2,37
32,33,70,-4,38
56,49,110,-1,39
24,29,55,-4,40
64,58,110,8,41
24,19,45,1,42
80,68,155,-2,43
56,52,115,-3,44
80,81,170,-7,45
32,32,70,-4,46
80,87,160,-2,47
72,70,150,-5,48
32,27,70,-4,49
72,54,130,5,50
80,75,155,-1,51
64,59,130,-3,52
56,52,115,-4,53
48,40,90,1,54
80,83,165,-5,55
72,66,145,-4,56
56,57,120,-6,57
64,57,120,1,58
56,56,115,-3,59
32,29,70,-4,60
40,33,85,-4,61
48,48,95,-1,62
40,33,85,-4,63
56,57,115,-3,64
64,63,135,-6,65
72,79,130,4,66
56,52,115,-4,67
40,45,95,-8,68
40,29,75,1,69
64,67,130,-4,70
32,18,55,3,71
40,36,65,6,72
64,60,125,-2,73
48,50,105,-6,74
80,88,175,-9,75
48,53,105,-6,76
48,44,95,-2,77
48,43,110,-8,78
64,65,120,2,79
40,39,85,-4,80
40,28,70,3,81
64,64,130,-2,82
56,42,105,1,83
48,39,95,-2,84
56,50,105,2,85
64,55,125,0,86
24,25,45,1,87
88,81,170,-1,88
56,61,120,-6,89
48,32,95,-2,90
104,89,210,-5,91
32,32,70,-4,92
56,53,120,-6,93
24,23,45,1,94
56,50,125,-8,95
80,85,170,-7,96
56,55,115,-3,97
48,47,100,-3,98
24,21,55,-4,99
24,18,45,0,100
80,74,155,-1,101
96,95,180,3,102
96,69,185,0,103
64,55,130,-3,104
32,29,70,-4,105
80,76,160,-3,106
32,28,65,-1,107
48,45,90,1,108
56,56,115,-4,109
32,32,65,-2,110
56,43,105,1,111
48,48,95,0,112
64,60,135,-6,113
40,36,80,-1,114
48,49,105,-6,115
80,72,165,-5,116
48,37,90,1,117
48,40,95,-2,118
56,60,110,0,119
48,40,95,-2,120
48,46,90,1,121
72,58,130,4,122
48,51,110,-8,123
48,43,100,-3,124
80,66,140,7,125
48,45,105,-6,126
64,54,130,-3,127
48,49,100,-4,128
56,50,110,-1,129
48,40,85,3,130
72,68,145,-3,131
48,51,100,-4,132
56,49,110,-2,133
72,68,135,1,134
56,54,110,-1,135
56,51,100,3,136
64,52,130,-3,137
88,73,165,3,138
56,58,120,-6,139
48,51,100,-3,140
64,55,125,-1,141
56,45,95,6,142
64,60,120,1,143
64,55,125,0,144
48,50,105,-6,145
48,49,90,2,146
64,55,130,-3,147
48,43,95,-1,148
120,114,245,-6,149
56,46,105,1,150
80,75,160,-3,151
48,36,105,-6,152
16,11,30,0,153
72,69,135,3,154
104,94,205,-2,155
40,27,65,6,156
48,41,90,0,157
48,50,100,-3,158
56,47,110,-2,159
80,86,175,-10,160
40,41,90,-6,161
56,60,125,-7,162
64,66,130,-3,163
48,40,90,1,164
32,27,70,-4,165
40,36,90,-6,166
40,41,90,-6,167
40,35,80,-1,168
64,68,140,-8,169
48,36,90,1,170
48,50,100,-4,171
72,72,145,-3,172
56,40,90,9,173
24,20,45,1,174
48,40,105,-6,175
64,62,125,-1,176
72,49,145,-3,177
80,79,175,-10,178
80,73,170,-7,179
48,38,90,2,180
72,59,150,-6,181
64,50,120,3,182
72,70,140,0,183
72,69,150,-5,184
48,35,90,0,185
32,23,60,1,186
32,40,70,-4,187
88,91,180,-5,188
64,52,130,-4,189
48,50,100,-4,190
48,39,100,-4,191
24,18,40,3,192
64,64,135,-6,193
32,26,60,1,194
40,36,85,-4,195
32,30,65,-2,196
88,68,160,5,197
72,62,130,4,198
56,56,115,-4,199
80,62,155,0,200
32,21,60,0,201
88,77,185,-7,202
64,61,130,-4,203
48,47,105,-6,204
64,60,125,-1,205
48,44,95,-1,206
48,54,100,-4,207
80,85,170,-8,208
48,46,100,-4,209
