Experiment,Id,Run,Qubits,Layers,Layer,Spin,Phase,FlagPattern,OnesCount,CorrelatedPairs,V,alpha,delta,Vn,alphaN,deltaN 
Wormholes,1,1,5,1,1,True,0,X....,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,2,5,1,1,True,0,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,3,5,1,1,True,0,XXX.X,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,4,5,1,1,True,0,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,5,5,1,1,True,0,.XX.X,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,6,5,1,1,True,0,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,7,5,1,1,True,0,..X.X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,8,5,1,1,True,0,XX.XX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,9,5,1,1,True,0,X.X.X,3,0,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,10,5,1,1,True,0,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,11,5,1,1,True,0,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,12,5,1,1,True,0,X..XX,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,13,5,1,1,True,0,X.XX.,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,14,5,1,1,True,0,....X,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,15,5,1,1,True,0,X....,1,3,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,16,5,1,1,True,0,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,17,5,1,1,True,0,.X.X.,2,0,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,18,5,1,1,True,0,.XXXX,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,19,5,1,1,True,0,.X..X,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,20,5,1,1,True,0,XXX..,3,3,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,21,5,1,1,True,0,X.X..,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,22,5,1,1,True,0,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,23,5,1,1,True,0,.X.X.,2,0,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,24,5,1,1,True,0,X.X..,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,25,5,1,1,True,0,.X.X.,2,0,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,26,5,1,1,True,0,X.XXX,4,2,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,27,5,1,1,True,0,XXXX.,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,28,5,1,1,True,0,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,29,5,1,1,True,0,XX..X,3,2,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,30,5,1,1,True,0,X.X.X,3,0,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,31,5,1,1,True,0,X...X,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,32,5,1,1,True,0,X..X.,2,1,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,33,5,1,1,True,0,.....,0,4,0,2.5,-2.5,0,0.5,-0.5
Wormholes,1,34,5,1,1,True,0,.XXXX,4,3,4,2.5,1.5,0.8,0.5,0.3
Wormholes,1,35,5,1,1,True,0,..XX.,2,2,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,36,5,1,1,True,0,...XX,2,3,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,37,5,1,1,True,0,.X...,1,2,1,2.5,-1.5,0.2,0.5,-0.3
Wormholes,1,38,5,1,1,True,0,.X.X.,2,0,2,2.5,-0.5,0.4,0.5,-0.1
Wormholes,1,39,5,1,1,True,0,.X.XX,3,1,3,2.5,0.5,0.6,0.5,0.1
Wormholes,1,40,5,1,1,True,0,X..X.,2,1,2,2.5,-0.5,0.4,0.5,-0.1
